"cod","sex","age","pop1","pop2","deaths","date1","date2"
11,"m",25,11226,16210,255,2001-11-25,2010-11-28
11,"m",30,10674,13244,263,2001-11-25,2010-11-28
11,"m",35,10164,11598,320,2001-11-25,2010-11-28
11,"m",40,9478,10587,342,2001-11-25,2010-11-28
11,"m",45,8239,10473,372,2001-11-25,2010-11-28
11,"m",5,25472,24208,141,2001-11-25,2010-11-28
11,"m",50,7522,8934,415,2001-11-25,2010-11-28
11,"m",55,6346,8190,457,2001-11-25,2010-11-28
11,"m",60,5842,6817,515,2001-11-25,2010-11-28
11,"m",65,5176,6337,649,2001-11-25,2010-11-28
11,"m",70,3968,5121,789,2001-11-25,2010-11-28
11,"m",75,2993,3848,1048,2001-11-25,2010-11-28
11,"m",80,2000,2684,1036,2001-11-25,2010-11-28
11,"m",85,2275,2152,2039,2001-11-25,2010-11-28
11,"f",0,23207,21549,579,2001-11-25,2010-11-28
11,"f",10,25068,24596,115,2001-11-25,2010-11-28
11,"f",15,21309,22892,145,2001-11-25,2010-11-28
11,"f",20,17402,20178,123,2001-11-25,2010-11-28
11,"f",25,13427,17392,135,2001-11-25,2010-11-28
11,"f",30,12491,14703,143,2001-11-25,2010-11-28
11,"f",35,11718,13133,141,2001-11-25,2010-11-28
11,"f",40,10534,11937,217,2001-11-25,2010-11-28
11,"f",45,9215,11419,224,2001-11-25,2010-11-28
11,"f",5,24606,23502,106,2001-11-25,2010-11-28
11,"f",50,8300,9751,294,2001-11-25,2010-11-28
11,"f",55,6531,8956,363,2001-11-25,2010-11-28
11,"f",60,6254,7424,431,2001-11-25,2010-11-28
11,"f",65,5468,6892,530,2001-11-25,2010-11-28
11,"f",70,4132,5261,725,2001-11-25,2010-11-28
11,"f",75,3100,3901,778,2001-11-25,2010-11-28
11,"f",80,2176,2756,943,2001-11-25,2010-11-28
11,"f",85,2975,2462,2149,2001-11-25,2010-11-28
12,"m",0,38370,42773,1361,2001-11-25,2010-11-28
12,"m",10,37430,45194,257,2001-11-25,2010-11-28
12,"m",15,33610,39046,588,2001-11-25,2010-11-28
12,"m",20,32352,33303,1084,2001-11-25,2010-11-28
12,"m",25,25961,30491,1123,2001-11-25,2010-11-28
12,"m",30,24046,28712,1041,2001-11-25,2010-11-28
12,"m",35,20744,25825,899,2001-11-25,2010-11-28
